Categoria;(1) Població;Població estrangera. Total;Població estrangera. % vert.;Població estrangera. % sobre (1);% int
Alt Camp;45189;6201;0,52;13,72;13
Alt Empordà;140428;38928;3,28;27,72;27
Alt Penedès;105670;13140;1,11;12,43;12
Alt Urgell;22008;3329;0,28;15,13;15
Alta Ribagorça;4284;738;0,06;17,23;17
Anoia;118509;11522;0,97;9,72;9
Val d'Aran;10192;2141;0,18;21,01;21
Bages;177032;21447;1,81;12,11;12
Baix Camp;191947;36388;3,07;18,96;18
Baix Ebre;82634;16928;1,43;20,49;20
Baix Empordà;133116;28733;2,42;21,58;21
Baix Llobregat;803705;93708;7,9;11,66;11
Baix Penedès;101115;15872;1,34;15,7;15
Barcelonès;2246280;399140;33,66;17,77;17
Berguedà;41540;4008;0,34;9,65;9
Cerdanya;18783;3036;0,26;16,16;16
Conca de Barberà;21290;2687;0,23;12,62;12
Garraf;146469;23786;2,01;16,24;16
Garrigues;20306;2642;0,22;13,01;13
Garrotxa;55597;8520;0,72;15,32;15
Gironès;182916;38562;3,25;21,08;21
Maresme;434897;54224;4,57;12,47;12
Moianès;12962;1095;0,09;8,45;8
Montsià;72261;15600;1,32;21,59;21
Noguera;40231;6956;0,59;17,29;17
Osona;153857;22280;1,88;14,48;14
Pallars Jussà;14374;2108;0,18;14,67;14
Pallars Sobirà;7548;1124;0,09;14,89;14
Pla d'Urgell;37265;7277;0,61;19,53;19
Pla de l'Estany;31169;5005;0,42;16,06;16
Priorat;10087;1256;0,11;12,45;12
Ribera d'Ebre;23889;3977;0,34;16,65;16
Ripollès;26393;2270;0,19;8,6;8
Segarra;23191;6106;0,51;26,33;26
Segrià;207633;39767;3,35;19,15;19
Selva;172280;36885;3,11;21,41;21
Solsonès;13808;1996;0,17;14,46;14
Tarragonès;250142;47998;4,05;19,19;19
Terra Alta;12847;1797;0,15;13,99;13
Urgell;37396;7177;0,61;19,19;19
Vallès Occidental;892260;105180;8,87;11,79;11
Vallès Oriental;396118;44318;3,74;11,19;11
Total;7539618;1185852;100;15,73;15